"global_line_item_id","order_id","order_created_at","website","customer_id","NA","NA","total_price","currency","total_price_after_currency","new"
"11315874759","6029457415","2017-09","A","299108",NA,NA,58,34.6,2006.8,"new"
"11315917447","6029484167","2017-09","A","296852",NA,NA,30,34.6,1038,"new"
"11315983367","6029522631","2017-09","A","299116",NA,NA,28,34.6,968.8,"new"
"11315996487","6029531591","2017-09","A","299117",NA,NA,60,34.6,2076,"new"
"11316104775","6029603271","2017-09","A","299126",NA,NA,28,34.6,968.8,"new"
"11316126343","6029614855","2017-09","A","299128",NA,NA,86,34.6,2975.6,"new"
"11316171079","6029642183","2017-09","A","299132",NA,NA,27,34.6,934.2,"new"
"11316208327","6029659975","2017-09","A","299136",NA,NA,59,34.6,2041.4,"new"
"11316210631","6029661383","2017-09","A","299138",NA,NA,93,34.6,3217.8,"new"
"11316243015","6029677639","2017-09","A","299140",NA,NA,57,34.6,1972.2,"new"
"11316256711","6029685895","2017-09","A","299142",NA,NA,86,34.6,2975.6,"new"
"11316335879","6029730247","2017-09","A","299148",NA,NA,45,34.6,1557,"new"
"11316436295","6029787655","2017-09","A","299154",NA,NA,41,34.6,1418.6,"new"
"11316448583","6029794695","2017-09","A","299155",NA,NA,64,34.6,2214.4,"new"
"11316504839","6029837447","2017-09","A","299159",NA,NA,41,34.6,1418.6,"new"
"11316582023","6029879751","2017-09","A","299163",NA,NA,78,34.6,2698.8,"new"
"11316604167","6029891591","2017-09","A","298106",NA,NA,10,34.6,346,"new"
"11316708807","6029953223","2017-09","A","299171",NA,NA,11,34.6,380.6,"new"
"11316739399","6029971463","2017-09","A","299173",NA,NA,24,34.6,830.4,"new"
"11316800263","6030004487","2017-09","A","299179",NA,NA,100,34.6,3460,"new"
"11316836103","6030023815","2017-09","A","299180",NA,NA,60,34.6,2076,"new"
"11316858503","6030036679","2017-09","A","299181",NA,NA,26,34.6,899.6,"new"
"11316876743","6030047559","2017-09","A","299182",NA,NA,61,34.6,2110.6,"new"
"11316924167","6030073927","2017-09","A","156105",NA,NA,25,34.6,865,"new"
"11316927431","6030076295","2017-09","A","299184",NA,NA,77,34.6,2664.2,"new"
"11316930759","6030078151","2017-09","A","284963",NA,NA,71,34.6,2456.6,"new"
"11316937799","6030081543","2017-09","A","299187",NA,NA,78,34.6,2698.8,"new"
"11316976007","6030101703","2017-09","A","299189",NA,NA,78,34.6,2698.8,"new"
"11317072647","6030155783","2017-09","A","299193",NA,NA,42,34.6,1453.2,"new"
"11317079431","6030160135","2017-09","A","299194",NA,NA,43,34.6,1487.8,"new"
"11317085383","6030162887","2017-09","A","299196",NA,NA,48,34.6,1660.8,"new"
"11317165063","6030207879","2017-09","A","299201",NA,NA,81,34.6,2802.6,"new"
"11317276807","6030275847","2017-09","A","299203",NA,NA,16,34.6,553.6,"new"
"11317415047","6030355719","2017-09","A","299205",NA,NA,28,34.6,968.8,"new"
"11317426631","6030364295","2017-09","A","299206",NA,NA,80,34.6,2768,"new"
"11317466631","6030388807","2017-09","A","299208",NA,NA,59,34.6,2041.4,"new"
"11317532487","6030421447","2017-09","A","299211",NA,NA,61,34.6,2110.6,"new"
"11317534535","6030422599","2017-09","A","299212",NA,NA,63,34.6,2179.8,"new"
"11317653063","6030490183","2017-09","A","299214",NA,NA,59,34.6,2041.4,"new"
"11317755527","6030549383","2017-09","A","201664",NA,NA,53,34.6,1833.8,"new"
"11317772039","6030559047","2017-09","A","284284",NA,NA,48,34.6,1660.8,"new"
"11317796295","6030572487","2017-09","A","299219",NA,NA,68,34.6,2352.8,"new"
"11317939591","6030660359","2017-09","A","299221",NA,NA,36,34.6,1245.6,"new"
"11317945159","6030663367","2017-09","A","299223",NA,NA,67,34.6,2318.2,"new"
"11317958343","6030670791","2017-09","A","216317",NA,NA,85,34.6,2941,"new"
"11317978055","6030682247","2017-09","A","299224",NA,NA,49,34.6,1695.4,"new"
"11318105671","6030756935","2017-09","A","299227",NA,NA,71,34.6,2456.6,"new"
"11318149639","6030782727","2017-09","A","299229",NA,NA,60,34.6,2076,"new"
"11318283335","6030853319","2017-09","A","299233",NA,NA,51,34.6,1764.6,"new"
"11318371783","6030905543","2017-09","A","285627",NA,NA,53,34.6,1833.8,"new"
"11318417223","6030931015","2017-09","A","299239",NA,NA,54,34.6,1868.4,"new"
"11318492103","6030970439","2017-09","A","299241",NA,NA,12,34.6,415.2,"new"
"11319124231","6031328711","2017-09","A","184304",NA,NA,72,34.6,2491.2,"new"
"11319762823","6031682759","2017-09","A","299320",NA,NA,77,34.6,2664.2,"new"
"11319767111","6031685447","2017-09","A","293962",NA,NA,11,34.6,380.6,"new"
"11320028999","6031817863","2017-09","A","299345",NA,NA,85,34.6,2941,"new"
"11320071431","6031841927","2017-09","A","299349",NA,NA,49,34.6,1695.4,"new"
"11320139015","6031883143","2017-09","A","290634",NA,NA,54,34.6,1868.4,"new"
"11320228359","6031929671","2017-09","A","299367",NA,NA,93,34.6,3217.8,"new"
"11320244487","6031937479","2017-09","A","299368",NA,NA,32,34.6,1107.2,"new"
"11320249351","6031940871","2017-09","A","3431",NA,NA,58,34.6,2006.8,"new"
"11320300871","6031969543","2017-09","A","299373",NA,NA,59,34.6,2041.4,"new"
"11320464775","6032051207","2017-09","A","299382",NA,NA,68,34.6,2352.8,"new"
"11320471879","6032055175","2017-09","A","299383",NA,NA,40,34.6,1384,"new"
"11320525383","6032089607","2017-09","A","299385",NA,NA,64,34.6,2214.4,"new"
"11320532423","6032093831","2017-09","A","299386",NA,NA,66,34.6,2283.6,"new"
"11320537223","6032096263","2017-09","A","299387",NA,NA,17,34.6,588.2,"new"
"11320560519","6032109767","2017-09","A","299390",NA,NA,20,34.6,692,"new"
"11320618951","6032142279","2017-09","A","299397",NA,NA,79,34.6,2733.4,"new"
"11320626759","6032147655","2017-09","A","299399",NA,NA,38,34.6,1314.8,"new"
"11320747911","6032214279","2017-09","A","299413",NA,NA,73,34.6,2525.8,"new"
"11320750599","6032216327","2017-09","A","299414",NA,NA,75,34.6,2595,"new"
"11320777287","6032230663","2017-09","A","299418",NA,NA,100,34.6,3460,"new"
"11320793351","6032241479","2017-09","A","299419",NA,NA,92,34.6,3183.2,"new"
"11320832903","6032263175","2017-09","A","299422",NA,NA,15,34.6,519,"new"
"11320842375","6032268935","2017-09","A","299423",NA,NA,22,34.6,761.2,"new"
"11320926407","6032316423","2017-09","A","299425",NA,NA,100,34.6,3460,"new"
"11320955719","6032333895","2017-09","A","299427",NA,NA,66,34.6,2283.6,"new"
"11320994439","6032356743","2017-09","A","299430",NA,NA,84,34.6,2906.4,"new"
"11321088583","6032405831","2017-09","A","299436",NA,NA,65,34.6,2249,"new"
"11321118599","6032422855","2017-09","A","299439",NA,NA,14,34.6,484.4,"new"
"11321170887","6032447623","2017-09","A","299442",NA,NA,27,34.6,934.2,"new"
"11321371399","6032548679","2017-09","A","299452",NA,NA,94,34.6,3252.4,"new"
"11321714567","6032732039","2017-09","A","224820",NA,NA,80,34.6,2768,"new"
"11321728583","6032738631","2017-09","A","299472",NA,NA,60,34.6,2076,"new"
